2019年01月01日,晴/多云,1℃/-10℃,北风 1-2级/北风 1-2级,
2019年01月02日,多云/多云,1℃/-9℃,南风 1-2级/南风 1-2级,
2019年01月03日,霾/霾,2℃/-7℃,西南风 1-2级/西南风 1-2级,
2019年01月04日,晴/晴,2℃/-7℃,北风 3-4级/北风 3-4级,
2019年01月05日,多云/多云,0℃/-8℃,北风 1-2级/北风 1-2级,
2019年01月06日,晴/多云,3℃/-7℃,西南风 1-2级/西南风 1-2级,
2019年01月07日,多云/多云,2℃/-7℃,北风 3-4级/北风 3-4级,
2019年01月08日,晴/晴,1℃/-10℃,北风 3-4级/北风 3-4级,
2019年01月09日,多云/晴,2℃/-9℃,西南风 3-4级/西南风 3-4级,
2019年01月10日,晴/多云,4℃/-7℃,西南风 1-2级/西南风 1-2级,
2019年01月11日,霾/霾,5℃/-6℃,西南风 1-2级/西南风 1-2级,
2019年01月12日,霾/霾,5℃/-5℃,北风 3-4级/北风 3-4级,
2019年01月13日,晴/霾,6℃/-7℃,北风 3-4级/北风 3-4级,
2019年01月14日,多云/多云,6℃/-8℃,北风 3-4级/北风 3-4级,
2019年01月15日,晴/晴,-2℃/-10℃,北风 3-4级/北风 3-4级,
2019年01月16日,晴/晴,2℃/-8℃,西南风 1-2级/西南风 1-2级,
2019年01月17日,晴/霾,5℃/-7℃,北风 1-2级/北风 1-2级,
2019年01月18日,多云/多云,6℃/-6℃,西南风 1-2级/西南风 1-2级,
2019年01月19日,多云/多云,4℃/-5℃,北风 1-2级/北风 1-2级,
2019年01月20日,晴/晴,5℃/-7℃,西北风 3-4级/西北风 3-4级,
2019年01月21日,晴/晴,9℃/-4℃,北风 1-2级/北风 1-2级,
2019年01月22日,晴/晴,10℃/-3℃,北风 3-4级/北风 3-4级,
2019年01月23日,晴/晴,10℃/-4℃,东南风 1-2级/东南风 1-2级,
2019年01月24日,多云/多云,5℃/-5℃,东北风 1-2级/东北风 1-2级,
2019年01月25日,晴/晴,5℃/-6℃,北风 3-4级/北风 3-4级,
2019年01月26日,晴/多云,5℃/-5℃,西南风 1-2级/西南风 1-2级,
2019年01月27日,多云/晴,7℃/-5℃,西北风 3-4级/西北风 3-4级,
2019年01月28日,晴/多云,6℃/-4℃,南风 1-2级/南风 1-2级,
2019年01月29日,多云/多云,6℃/-4℃,西南风 1-2级/西南风 1-2级,
2019年01月30日,多云/多云,3℃/-7℃,北风 4-5级/北风 4-5级,
2019年01月31日,多云/多云,2℃/-8℃,西南风 1-2级/西南风 1-2级,
2019年02月01日,晴/多云,6℃/-5℃,西南风 1-2级/西南风 1-2级,
2019年02月02日,多云/多云,3℃/-3℃,南风 1-2级/南风 1-2级,
2019年02月03日,多云/晴,7℃/-7℃,北风 3-4级/北风 3-4级,
2019年02月04日,晴/晴,4℃/-6℃,北风 1-2级/北风 1-2级,
2019年02月05日,多云/霾,1℃/-5℃,东南风 1-2级/东南风 1-2级,
2019年02月06日,小雪/多云,0℃/-7℃,东风 1-2级/东风 1-2级,
2019年02月07日,多云/多云,-3℃/-10℃,西南风 1-2级/西南风 1-2级,
2019年02月08日,多云/晴,-1℃/-7℃,西南风 1-2级/西南风 1-2级,
2019年02月09日,多云/多云,0℃/-8℃,西南风 1-2级/西南风 1-2级,
2019年02月10日,多云/多云,-1℃/-8℃,西南风 1-2级/西南风 1-2级,
2019年02月11日,多云/多云,3℃/-6℃,北风 1-2级/北风 1-2级,
2019年02月12日,小雪/多云,-3℃/-7℃,东风 1-2级/东风 1-2级,
2019年02月13日,多云/多云,1℃/-6℃,东北风 3-4级/东北风 3-4级,
2019年02月14日,小雪/多云,-3℃/-6℃,南风 1-2级/南风 1-2级,
2019年02月15日,晴/晴,2℃/-7℃,西北风 4-5级/西北风 4-5级,
2019年02月16日,晴/晴,3℃/-6℃,北风 3-4级/北风 3-4级,
2019年02月17日,晴/多云,6℃/-4℃,北风 1-2级/北风 1-2级,
2019年02月18日,阴/阴,4℃/-3℃,南风 1-2级/南风 1-2级,
2019年02月19日,晴/晴,7℃/-4℃,西北风 1-2级/西北风 1-2级,
2019年02月20日,晴/晴,9℃/-4℃,西南风 1-2级/西南风 1-2级,
2019年02月21日,晴/多云,11℃/-3℃,西南风 1-2级/西南风 1-2级,
2019年02月22日,霾/霾,10℃/-2℃,北风 1-2级/北风 1-2级,
2019年02月23日,霾/霾,12℃/-2℃,南风 1-2级/南风 1-2级,
2019年02月24日,晴/多云,13℃/-1℃,东北风 1-2级/东北风 1-2级,
2019年02月25日,多云/多云,11℃/-2℃,南风 1-2级/南风 1-2级,
2019年02月26日,多云/多云,10℃/-2℃,东南风 1-2级/东南风 1-2级,
2019年02月27日,晴/晴,12℃/-2℃,西南风 1-2级/西南风 1-2级,
2019年02月28日,晴/晴,14℃/-1℃,北风 1-2级/北风 1-2级,
2019年03月01日,晴/晴,15℃/1℃,南风 1-2级/南风 1-2级,
2019年03月02日,霾/霾,15℃/3℃,西南风 3-4级/西南风 3-4级,
2019年03月03日,霾/霾,14℃/1℃,西南风 1-2级/西南风 1-2级,
2019年03月04日,多云/多云,16℃/2℃,北风 1-2级/北风 1-2级,
2019年03月05日,晴/晴,17℃/4℃,西北风 3-4级/西北风 3-4级,
2019年03月06日,晴/晴,11℃/-2℃,北风 4-5级/北风 4-5级,
2019年03月07日,晴/晴,13℃/-1℃,西南风 1-2级/西南风 1-2级,
2019年03月08日,多云/多云,14℃/3℃,南风 1-2级/南风 1-2级,
2019年03月09日,阴/多云,12℃/2℃,北风 1-2级/北风 1-2级,
2019年03月10日,小雨/多云,13℃/2℃,北风 1-2级/北风 1-2级,
2019年03月11日,晴/晴,16℃/1℃,西北风 4-5级/西北风 4-5级,
2019年03月12日,晴/晴,12℃/1℃,西北风 3-4级/西北风 3-4级,
2019年03月13日,多云/多云,16℃/2℃,西北风 3-4级/西北风 3-4级,
2019年03月14日,多云/多云,16℃/4℃,西北风 3-4级/西北风 3-4级,
2019年03月15日,多云/多云,14℃/0℃,南风 3-4级/南风 3-4级,
2019年03月16日,晴/晴,19℃/2℃,西北风 3-4级/西北风 3-4级,
2019年03月17日,晴/多云,20℃/4℃,西南风 3-4级/西南风 3-4级,
2019年03月18日,多云/晴,21℃/6℃,南风 1-2级/南风 1-2级,
2019年03月19日,多云/多云,25℃/12℃,南风 3-4级/南风 3-4级,
2019年03月20日,小雨/多云,20℃/6℃,西北风 1-2级/西北风 1-2级,
2019年03月21日,晴/晴,13℃/0℃,北风 4-5级/北风 4-5级,
2019年03月22日,晴/晴,15℃/3℃,西北风 3-4级/西北风 3-4级,
2019年03月23日,晴/晴,12℃/2℃,西南风 1-2级/西南风 1-2级,
2019年03月24日,晴/晴,19℃/4℃,西南风 3-4级/西南风 3-4级,
2019年03月25日,晴/晴,22℃/5℃,西北风 3-4级/西北风 3-4级,
2019年03月26日,晴/晴,19℃/4℃,东南风 1-2级/东南风 1-2级,
2019年03月27日,多云/多云,21℃/4℃,东北风 3-4级/东北风 3-4级,
2019年03月28日,多云/多云,11℃/2℃,南风 1-2级/南风 1-2级,
2019年03月29日,小雨/晴,13℃/4℃,西北风 3-4级/西北风 3-4级,
2019年03月30日,晴/晴,12℃/0℃,西北风 4-5级/西北风 4-5级,
2019年03月31日,多云/多云,16℃/2℃,西北风 3-4级/西北风 3-4级,
2019年04月01日,晴/多云,16℃/4℃,南风 1-2级/南风 1-2级,
2019年04月02日,晴/晴,19℃/3℃,东北风 1-2级/东北风 1-2级,
2019年04月03日,晴/晴,21℃/8℃,西南风 3-4级/西南风 3-4级,
2019年04月04日,扬沙/多云,28℃/9℃,南风 3-4级/南风 3-4级,
2019年04月05日,扬沙/多云,21℃/8℃,东南风 3-4级/东南风 3-4级,
2019年04月06日,多云/晴,19℃/6℃,南风 3-4级/南风 3-4级,
2019年04月07日,多云/多云,19℃/7℃,南风 1-2级/南风 1-2级,
2019年04月08日,多云/小雨,17℃/5℃,南风 3-4级/南风 3-4级,
2019年04月09日,小雨/多云,9℃/3℃,北风 3-4级/北风 3-4级,
2019年04月10日,多云/多云,18℃/9℃,北风 1-2级/北风 1-2级,
2019年04月11日,多云/多云,19℃/6℃,南风 1-2级/南风 1-2级,
2019年04月12日,多云/多云,22℃/9℃,西南风 4-5级/西南风 4-5级,
2019年04月13日,多云/晴,23℃/7℃,北风 3-4级/北风 3-4级,
2019年04月14日,晴/晴,23℃/8℃,西南风 3-4级/西南风 3-4级,
2019年04月15日,多云/多云,26℃/12℃,南风 3-4级/南风 3-4级,
2019年04月16日,晴/晴,26℃/13℃,南风 3-4级/南风 3-4级,
2019年04月17日,晴/多云,28℃/16℃,西南风 3-4级/西南风 3-4级,
2019年04月18日,多云/多云,23℃/10℃,东北风 3-4级/东北风 3-4级,
2019年04月19日,多云/小雨,20℃/10℃,南风 1-2级/南风 1-2级,
2019年04月20日,小雨/多云,15℃/8℃,北风 1-2级/北风 1-2级,
2019年04月21日,晴/晴,22℃/8℃,南风 3-4级/南风 3-4级,
2019年04月22日,多云/多云,26℃/14℃,南风 3-4级/南风 3-4级,
2019年04月23日,多云/多云,27℃/15℃,东南风 3-4级/东南风 3-4级,
2019年04月24日,小雨/小雨,19℃/9℃,东北风 4-5级/东北风 4-5级,
2019年04月25日,多云/多云,18℃/8℃,东北风 1-2级/东北风 1-2级,
2019年04月26日,晴/多云,20℃/10℃,西南风 1-2级/西南风 1-2级,
2019年04月27日,小雨/多云,15℃/6℃,西南风 3-4级/西南风 3-4级,
2019年04月28日,多云/多云,18℃/9℃,南风 3-4级/南风 3-4级,
2019年04月29日,多云/多云,23℃/13℃,西南风 3-4级/西南风 3-4级,
2019年04月30日,多云/多云,24℃/12℃,北风 4-5级/北风 4-5级,
2019年05月01日,晴/晴,28℃/10℃,西南风 3-4级/西南风 3-4级,
2019年05月02日,晴/多云,29℃/14℃,西南风 3-4级/西南风 3-4级,
2019年05月03日,多云/多云,28℃/16℃,南风 3-4级/南风 3-4级,
2019年05月04日,小雨/阴,28℃/16℃,南风 1-2级/南风 1-2级,
2019年05月05日,晴/晴,23℃/10℃,北风 4-5级/北风 4-5级,
2019年05月06日,晴/晴,25℃/10℃,西南风 3-4级/西南风 3-4级,
2019年05月07日,晴/多云,28℃/14℃,西南风 3-4级/西南风 3-4级,
2019年05月08日,多云/多云,25℃/13℃,东北风 1-2级/东北风 1-2级,
2019年05月09日,晴/多云,30℃/14℃,西南风 1-2级/西南风 1-2级,
2019年05月10日,多云/多云,30℃/14℃,南风 3-4级/南风 3-4级,
2019年05月11日,多云/多云,29℃/14℃,西南风 1-2级/西南风 1-2级,
2019年05月12日,雷阵雨/晴,25℃/11℃,北风 3-4级/北风 3-4级,
2019年05月13日,晴/晴,26℃/12℃,西南风 3-4级/西南风 3-4级,
2019年05月14日,多云/多云,29℃/16℃,南风 1-2级/南风 1-2级,
2019年05月15日,雷阵雨/多云,28℃/16℃,西南风 3-4级/西南风 3-4级,
2019年05月16日,晴/晴,32℃/19℃,西南风 3-4级/西南风 3-4级,
2019年05月17日,多云/阴,31℃/20℃,东南风 3-4级/东南风 3-4级,
2019年05月18日,小雨/小雨,27℃/18℃,东南风 3-4级/东南风 3-4级,
2019年05月19日,多云/晴,27℃/13℃,西北风 4-5级/西北风 4-5级,
2019年05月20日,晴/晴,26℃/13℃,西北风 4-5级/西北风 4-5级,
2019年05月21日,晴/晴,32℃/14℃,西北风 3-4级/西北风 3-4级,
2019年05月22日,晴/晴,35℃/17℃,西南风 3-4级/西南风 3-4级,
2019年05月23日,晴/多云,37℃/21℃,南风 3-4级/南风 3-4级,
2019年05月24日,多云/多云,35℃/21℃,南风 3-4级/南风 3-4级,
2019年05月25日,多云/雷阵雨,35℃/22℃,南风 3-4级/南风 3-4级,
2019年05月26日,小雨/多云,26℃/17℃,北风 3-4级/北风 3-4级,
2019年05月27日,晴/晴,29℃/14℃,北风 4-5级/北风 4-5级,
2019年05月28日,晴/晴,32℃/16℃,西南风 3-4级/西南风 3-4级,
2019年05月29日,晴/多云,33℃/22℃,南风 1-2级/南风 1-2级,
2019年05月30日,多云/晴,30℃/15℃,东北风 3-4级/东北风 3-4级,
2019年05月31日,晴/多云,31℃/19℃,南风 3-4级/南风 3-4级,
2019年06月01日,雷阵雨/多云,29℃/18℃,西风 1-2级/西风 1-2级,
2019年06月02日,雷阵雨/小雨,32℃/20℃,南风 1-2级/南风 1-2级,
2019年06月03日,多云/多云,34℃/19℃,南风 1-2级/南风 1-2级,
2019年06月04日,雷阵雨/多云,27℃/19℃,东南风 1-2级/东南风 1-2级,
